split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,clean,{},0.5,12.3,27,24,17,7,10,0.7083333333333334,0.6296296296296297,0.6666666666666667,0.7260536719831433,0.838335824459207,-3,3
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,cellpose_cpsam,Cellpose-SAM,clean,{},0.5,903.243,27,20,19,1,8,0.95,0.7037037037037037,0.8085106382978724,0.8222408024391369,0.900667863922645,-7,7
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,clean,{},0.5,1686.36,27,4,0,4,27,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,6.203,27,27,14,13,13,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.6969427154155997,0.8190515885551043,0,0
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,cellpose_cpsam,Cellpose-SAM,gaussian_noise,{'sigma': 0.08},0.5,456.066,27,20,18,2,9,0.9,0.6666666666666666,0.7659574468085106,0.7475008798552376,0.8531731494760043,-7,7
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,gaussian_noise,{'sigma': 0.08},0.5,1438.982,27,1,0,1,27,0.0,0.0,0.0,0.0,0.0,-26,26
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,5.644,27,22,18,4,9,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.7240164173096171,0.8361298665994178,-5,5
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,cellpose_cpsam,Cellpose-SAM,gaussian_blur,{'sigma': 1.5},0.5,449.025,27,20,19,1,8,0.95,0.7037037037037037,0.8085106382978724,0.809912490940285,0.8927818646294309,-7,7
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,gaussian_blur,{'sigma': 1.5},0.5,1514.182,27,1,0,1,27,0.0,0.0,0.0,0.0,0.0,-26,26
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,6.293,27,23,18,5,9,0.782608695652174,0.6666666666666666,0.72,0.7230949558730901,0.8354950423699403,-4,4
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,cellpose_cpsam,Cellpose-SAM,downsample_upsample,{'scale': 0.5},0.5,482.057,27,20,19,1,8,0.95,0.7037037037037037,0.8085106382978724,0.8073418181945616,0.8912663968324809,-7,7
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,downsample_upsample,{'scale': 0.5},0.5,1429.167,27,1,0,1,27,0.0,0.0,0.0,0.0,0.0,-26,26
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,6.688,27,22,18,4,9,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.7168095847055057,0.8316245870855938,-5,5
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,cellpose_cpsam,Cellpose-SAM,contrast_inversion,{},0.5,452.945,27,19,19,0,8,1.0,0.7037037037037037,0.8260869565217391,0.8002327427669428,0.8857794443490045,-8,8
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,contrast_inversion,{},0.5,1402.36,27,1,0,1,27,0.0,0.0,0.0,0.0,0.0,-26,26
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,clean,{},0.5,6.58,28,27,24,3,4,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.9014175940338074,0.9450226973203724,-1,1
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,cellpose_cpsam,Cellpose-SAM,clean,{},0.5,453.047,28,25,25,0,3,1.0,0.8928571428571429,0.9433962264150944,0.932303200137025,0.9640251444085896,-3,3
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,clean,{},0.5,1536.669,28,14,6,8,22,0.4285714285714285,0.2142857142857142,0.2857142857142857,0.7079162455352693,0.8235882094487382,-14,14
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,6.806,28,28,24,4,4,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8040780280391381,0.8889669560877745,0,0
