split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,clean,{},0.5,17.197,27,24,17,7,10,0.7083333333333334,0.6296296296296297,0.6666666666666667,0.7260536719831433,0.838335824459207,-3,3
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,7.22,27,27,14,13,13,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.6969427154155997,0.8190515885551043,0,0
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,5.813,27,22,18,4,9,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.7240164173096171,0.8361298665994178,-5,5
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,5.875,27,23,18,5,9,0.782608695652174,0.6666666666666666,0.72,0.7230949558730901,0.8354950423699403,-4,4
stage1_train_full,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,6.279,27,22,18,4,9,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.7168095847055057,0.8316245870855938,-5,5
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,clean,{},0.5,6.66,36,38,36,2,0,0.9473684210526316,1.0,0.972972972972973,0.8972032169958172,0.9429405135977652,2,2
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,6.479,36,48,28,20,8,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.7953859860191033,0.8814672911843423,12,12
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,6.486,36,41,34,7,2,0.8292682926829268,0.9444444444444444,0.883116883116883,0.8745328875837762,0.9302281505096578,5,5
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,6.52,36,41,34,7,2,0.8292682926829268,0.9444444444444444,0.883116883116883,0.8879769808957345,0.9378282417004706,5,5
stage1_train_full,003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,8.521,36,38,36,2,0,0.9473684210526316,1.0,0.972972972972973,0.8911925589390689,0.939575222137636,2,2
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,clean,{},0.5,13.344,70,109,37,72,33,0.3394495412844037,0.5285714285714286,0.4134078212290503,0.7405931600309938,0.8421436557739836,39,39
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,12.862,70,127,41,86,29,0.3228346456692913,0.5857142857142857,0.416243654822335,0.7209784352154694,0.8312467434505786,57,57
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,11.119,70,109,41,68,29,0.3761467889908257,0.5857142857142857,0.4581005586592179,0.7300060855395762,0.8358104962643017,39,39
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,11.454,70,116,45,71,25,0.3879310344827586,0.6428571428571429,0.4838709677419355,0.7393135916801081,0.8427877919025168,46,46
stage1_train_full,00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,11.232,70,110,36,74,34,0.3272727272727272,0.5142857142857142,0.4,0.751067730529991,0.8501041244957235,40,40
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,clean,{},0.5,10.357,86,94,34,60,52,0.3617021276595745,0.3953488372093023,0.3777777777777777,0.6994763070906461,0.8177302476975077,8,8
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,10.69,86,101,33,68,53,0.3267326732673267,0.3837209302325581,0.3529411764705882,0.6673313734747018,0.7948966234091239,15,15
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,9.723,86,91,32,59,54,0.3516483516483517,0.3720930232558139,0.3615819209039547,0.7041950978412723,0.8218469114678403,5,5
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,11.687,86,89,37,52,49,0.4157303370786517,0.4302325581395348,0.4228571428571429,0.6925855595587104,0.813832205047539,3,3
stage1_train_full,0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,9.933,86,96,36,60,50,0.375,0.4186046511627907,0.3956043956043956,0.6875331516678072,0.8085223653177915,10,10
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,clean,{},0.5,7.947,7,14,5,9,2,0.3571428571428571,0.7142857142857143,0.4761904761904762,0.6507267638155886,0.7793908539707063,7,7
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,8.112,7,28,3,25,4,0.1071428571428571,0.4285714285714285,0.1714285714285714,0.7024675785872176,0.8248961051775813,21,21
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,7.06,7,16,5,11,2,0.3125,0.7142857142857143,0.4347826086956521,0.6811533656046995,0.799568515549511,9,9
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,6.694,7,15,5,10,2,0.3333333333333333,0.7142857142857143,0.4545454545454545,0.6833736646802682,0.8005648028752231,8,8
stage1_train_full,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,6.566,7,16,5,11,2,0.3125,0.7142857142857143,0.4347826086956521,0.6769092169499772,0.7974296286231134,9,9
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,clean,{},0.5,6.536,16,17,13,4,3,0.7647058823529411,0.8125,0.787878787878788,0.8428264389648118,0.9064565500250106,1,1
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,5.889,16,18,14,4,2,0.7777777777777778,0.875,0.823529411764706,0.8094634015514817,0.8907707348272712,2,2
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,5.516,16,16,11,5,5,0.6875,0.6875,0.6875,0.8839879556429853,0.9372045544566706,0,0
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,5.683,16,16,12,4,4,0.75,0.75,0.75,0.8657852072551053,0.9234165587885336,0,0
stage1_train_full,0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,5.204,16,18,14,4,2,0.7777777777777778,0.875,0.823529411764706,0.8698576489423572,0.9270569826372544,2,2
stage1_train_full,0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,otsu_watershed,Otsu + watershed,clean,{},0.5,8.1,62,56,42,14,20,0.75,0.6774193548387096,0.7118644067796611,0.7437420464336844,0.8479192748780446,-6,6
